student_id,semester_number,term_year,course_code,credits,grade_points
2,1,Fall 2020,CSCI 11032,3,2.0
2,1,Fall 2020,CSCI 11042,3,2.3
2,1,Fall 2020,CSCI 11052,3,2.0
2,1,Fall 2020,CSCI 11062,3,2.0
2,1,Fall 2020,DELT 13302,3,2.3
2,1,Fall 2020,CSCI 11072,3,2.3
2,2,Spring 2021,CSCI 12013,3,2.7
2,2,Spring 2021,CSCI 12022,3,2.3
2,2,Spring 2021,CSCI 12033,3,2.3
2,2,Spring 2021,CSCI 12042,3,2.0
2,2,Spring 2021,CSCI 12052,3,2.0
2,2,Spring 2021,CSCI 12063,3,2.0
2,3,Fall 2021,CSCI 21013,3,2.0
2,3,Fall 2021,CSCI 21023,3,2.0
2,3,Fall 2021,CSCI 21033,3,2.3
2,3,Fall 2021,CSCI 21042,3,2.0
2,3,Fall 2021,CSCI 21052,3,2.0
2,3,Fall 2021,CSCI 21062,3,2.0
2,3,Fall 2021,CSCI 23072,3,2.0
2,3,Fall 2021,DELT 21212,3,2.7
2,3,Fall 2021,MGMT 21012,3,2.3
2,4,Spring 2022,CSCI 22012,3,2.0
2,4,Spring 2022,CSCI 22022,3,2.7
2,4,Spring 2022,CSCI 22032,3,2.0
2,4,Spring 2022,CSCI 22042,3,2.0
2,4,Spring 2022,CSCI 22052,3,2.0
2,4,Spring 2022,CSCI 22062,3,2.3
2,4,Spring 2022,CSCI 22082,3,2.3
2,4,Spring 2022,MGMT 22012,3,2.0
2,4,Spring 2022,CSCI 22072,2,2.7
2,5,Fall 2022,CSCI 31014,3,2.0
2,5,Fall 2022,DELT 33212,3,2.3
2,5,Fall 2022,MGMT 31012,3,2.3
2,5,Fall 2022,CSCI 31082,3,2.0
2,5,Fall 2022,CSEC 31012,3,2.3
2,5,Fall 2022,CSEC 31022,3,2.3
2,5,Fall 2022,AINT 31022,2,2.0
2,5,Fall 2022,AINT 31012,2,2.0
2,6,Spring 2023,CSCI 32012,3,2.0
2,6,Spring 2023,CSCI 32022,3,3.0
2,6,Spring 2023,CSCI 32032,3,2.0
2,6,Spring 2023,CSCI 32042,3,3.0
2,6,Spring 2023,DELT 33212,3,2.0
2,6,Spring 2023,MGMT 31012,3,2.0
2,6,Spring 2023,CSEC 32012,3,2.3
2,6,Spring 2023,CSEC 32022,3,3.0
2,6,Spring 2023,CSEC 32032,3,2.3
2,6,Spring 2023,AINT 32022,3,2.3
2,6,Spring 2023,AINT 32012,3,2.0
2,7,Fall 2023,CSCI 43018,3,2.0
2,7,Fall 2023,CSCI 44026,3,2.0
2,7,Fall 2023,CSEC 44012,3,2.0
2,7,Fall 2023,CSEC 44022,3,2.0
2,7,Fall 2023,CSEC 44032,3,2.0
2,7,Fall 2023,CSEC 44042,3,2.3
2,7,Fall 2023,CSEC 44062,3,2.7
2,7,Fall 2023,CSEC 44072,3,2.3
2,7,Fall 2023,DSCI 44022,3,2.0
2,7,Fall 2023,DSCI 44033,3,2.0
2,7,Fall 2023,DSCI 44052,3,2.3
2,7,Fall 2023,AINT 44042,3,2.0
2,7,Fall 2023,SCOM 44022,3,2.0
2,7,Fall 2023,AINT 44052,3,2.0
2,7,Fall 2023,AINT 44012,3,2.0
2,8,Spring 2024,CSCI 43018,3,2.0
2,8,Spring 2024,CSCI 44026,3,2.0
2,8,Spring 2024,CSEC 44012,3,2.3
2,8,Spring 2024,CSEC 44022,3,2.0
2,8,Spring 2024,CSEC 44032,3,2.0
2,8,Spring 2024,CSEC 44042,3,2.0
2,8,Spring 2024,CSEC 44062,3,2.0
2,8,Spring 2024,CSEC 44072,3,2.0
2,8,Spring 2024,DSCI 44022,3,2.0
2,8,Spring 2024,DSCI 44033,3,2.0
2,8,Spring 2024,DSCI 44052,3,2.0
2,8,Spring 2024,AINT 44042,3,2.0
2,8,Spring 2024,SCOM 44022,3,2.0
2,8,Spring 2024,AINT 44052,3,2.0
2,8,Spring 2024,AINT 44012,2,2.0
3,1,Fall 2024,CSCI 11014,3,2.7
3,1,Fall 2024,CSCI 11023,3,2.3
3,1,Fall 2024,CSCI 11032,3,2.3
3,1,Fall 2024,CSCI 11042,3,2.3
3,1,Fall 2024,CSCI 11052,3,2.7
3,1,Fall 2024,CSCI 11062,3,2.0
3,1,Fall 2024,DELT 13302,3,2.3
3,1,Fall 2024,CSCI 11072,2,2.0
3,2,Spring 2025,CSCI 12013,3,2.0
3,2,Spring 2025,CSCI 12022,3,2.0
3,2,Spring 2025,CSCI 12033,3,2.3
3,2,Spring 2025,CSCI 12042,3,2.0
3,2,Spring 2025,CSCI 12052,3,2.0
3,2,Spring 2025,CSCI 12063,3,2.0
4,1,Fall 2024,CSCI 11014,3,2.7
4,1,Fall 2024,CSCI 11023,3,2.3
4,1,Fall 2024,CSCI 11032,3,2.0
4,1,Fall 2024,CSCI 11042,3,3.0
4,1,Fall 2024,CSCI 11052,3,2.3
4,1,Fall 2024,CSCI 11062,3,2.7
4,1,Fall 2024,DELT 13302,3,2.0
4,1,Fall 2024,CSCI 11072,2,3.0
4,2,Spring 2025,CSCI 12013,3,2.7
4,2,Spring 2025,CSCI 12022,3,2.0
4,2,Spring 2025,CSCI 12033,3,2.0
4,2,Spring 2025,CSCI 12042,3,2.0
4,2,Spring 2025,CSCI 12052,3,2.7
4,2,Spring 2025,CSCI 12063,3,2.3
5,1,Fall 2022,CSCI 11014,3,2.7
5,1,Fall 2022,CSCI 11023,3,2.0
5,1,Fall 2022,CSCI 11032,3,2.7
5,1,Fall 2022,CSCI 11042,3,2.0
5,1,Fall 2022,CSCI 11052,3,2.0
5,1,Fall 2022,CSCI 11062,3,2.3
5,1,Fall 2022,DELT 13302,3,2.0
5,1,Fall 2022,CSCI 11072,2,2.3
5,2,Spring 2023,CSCI 12013,3,2.0
5,2,Spring 2023,CSCI 12022,3,2.0
5,2,Spring 2023,CSCI 12033,3,2.3
5,2,Spring 2023,CSCI 12042,3,3.0
5,2,Spring 2023,CSCI 12052,3,2.3
5,2,Spring 2023,CSCI 12063,3,2.0
5,3,Fall 2023,CSCI 21013,3,3.0
5,3,Fall 2023,CSCI 21023,3,2.0
5,3,Fall 2023,CSCI 21033,3,2.0
5,3,Fall 2023,CSCI 21042,3,2.3
5,3,Fall 2023,CSCI 21052,3,2.7
5,3,Fall 2023,CSCI 21062,3,2.7
5,3,Fall 2023,CSCI 23072,3,2.3
5,3,Fall 2023,DELT 21212,3,2.3
5,3,Fall 2023,MGMT 21012,3,2.0
5,4,Spring 2024,CSCI 22012,3,2.3
5,4,Spring 2024,CSCI 22022,3,2.0
5,4,Spring 2024,CSCI 22032,3,2.3
5,4,Spring 2024,CSCI 22042,3,2.0
5,4,Spring 2024,CSCI 22052,3,2.3
5,4,Spring 2024,CSCI 22062,3,2.0
5,4,Spring 2024,CSCI 22082,3,2.0
5,4,Spring 2024,MGMT 22012,3,2.0
5,4,Spring 2024,CSCI 22072,2,2.0
5,5,Fall 2024,CSCI 31014,3,2.7
5,5,Fall 2024,DELT 33212,3,2.0
5,5,Fall 2024,MGMT 31012,3,2.3
5,5,Fall 2024,CSCI 31082,3,3.0
5,5,Fall 2024,CSEC 31012,3,3.0
5,5,Fall 2024,CSEC 31022,3,2.0
5,6,Spring 2025,CSCI 32012,3,3.0
5,6,Spring 2025,CSCI 32022,3,2.0
5,6,Spring 2025,CSCI 32032,3,2.0
5,6,Spring 2025,CSCI 32042,3,2.7
5,6,Spring 2025,DELT 33212,3,2.0
5,6,Spring 2025,MGMT 31012,3,3.0
5,6,Spring 2025,CSEC 32012,3,2.0
5,6,Spring 2025,CSEC 32022,3,2.3
5,6,Spring 2025,CSEC 32032,3,2.3
5,6,Spring 2025,DSCI 32012,3,3.0
6,1,Fall 2020,CSCI 11014,3,2.3
6,1,Fall 2020,CSCI 11023,3,3.3
6,1,Fall 2020,CSCI 11032,3,3.0
6,1,Fall 2020,CSCI 11042,3,2.0
6,1,Fall 2020,CSCI 11052,3,2.0
6,1,Fall 2020,CSCI 11062,3,2.0
6,1,Fall 2020,DELT 13302,3,2.7
6,1,Fall 2020,CSCI 11072,2,2.0
6,2,Spring 2021,CSCI 12013,3,2.0
6,2,Spring 2021,CSCI 12022,3,2.7
6,2,Spring 2021,CSCI 12033,3,2.0
6,2,Spring 2021,CSCI 12042,3,2.3
6,2,Spring 2021,CSCI 12052,3,2.3
6,2,Spring 2021,CSCI 12063,3,2.7
6,3,Fall 2021,CSCI 21013,3,2.0
6,3,Fall 2021,CSCI 21023,3,2.3
6,3,Fall 2021,CSCI 21033,3,2.3
6,3,Fall 2021,CSCI 21042,3,2.0
6,3,Fall 2021,CSCI 21052,3,2.0
6,3,Fall 2021,CSCI 21062,3,2.7
6,3,Fall 2021,CSCI 23072,3,2.0
6,3,Fall 2021,DELT 21212,3,2.0
6,3,Fall 2021,MGMT 21012,3,2.0
6,4,Spring 2022,CSCI 22012,3,2.0
6,4,Spring 2022,CSCI 22022,3,3.0
6,4,Spring 2022,CSCI 22032,3,2.0
6,4,Spring 2022,CSCI 22042,3,2.0
6,4,Spring 2022,CSCI 22052,3,2.0
6,4,Spring 2022,CSCI 22062,3,2.3
6,4,Spring 2022,CSCI 22082,3,2.0
6,4,Spring 2022,MGMT 22012,3,2.0
6,4,Spring 2022,CSCI 22072,3,2.0
6,5,Fall 2022,CSCI 31014,3,2.3
6,5,Fall 2022,DELT 33212,3,2.0
6,5,Fall 2022,MGMT 31012,3,2.0
6,5,Fall 2022,CSCI 31082,3,2.0
6,5,Fall 2022,CSEC 31012,3,2.3
6,5,Fall 2022,CSEC 31022,3,2.0
6,5,Fall 2022,CSCI 31032,2,3.0
6,5,Fall 2022,CSCI 31062,3,2.0
6,6,Spring 2023,CSCI 32012,3,2.7
6,6,Spring 2023,CSCI 32022,3,2.3
6,6,Spring 2023,CSCI 32032,3,2.0
6,6,Spring 2023,CSCI 32042,3,2.0
6,6,Spring 2023,DELT 33212,3,2.0
6,6,Spring 2023,MGMT 31012,3,2.0
6,6,Spring 2023,CSEC 32012,3,2.7
6,6,Spring 2023,CSEC 32022,3,2.0
6,6,Spring 2023,CSEC 32032,3,2.7
6,6,Spring 2023,CSCI 32092,2,2.0
6,6,Spring 2023,CSCI 32062,2,2.3
6,7,Fall 2023,CSCI 43018,3,3.0
6,7,Fall 2023,CSCI 44026,3,2.0
6,7,Fall 2023,CSEC 44012,3,2.0
6,7,Fall 2023,CSEC 44022,3,2.3
6,7,Fall 2023,CSEC 44032,3,2.0
6,7,Fall 2023,CSEC 44042,3,2.7
6,7,Fall 2023,CSEC 44062,3,2.7
6,7,Fall 2023,CSEC 44072,3,2.0
6,7,Fall 2023,DSCI 44022,3,2.0
6,7,Fall 2023,DSCI 44033,3,2.0
6,7,Fall 2023,DSCI 44052,3,2.3
6,7,Fall 2023,AINT 44042,3,2.0
6,7,Fall 2023,SCOM 44022,3,2.0
6,7,Fall 2023,CSCI 44032,2,2.0
6,7,Fall 2023,CSCI 44103,3,2.7
6,8,Spring 2024,CSCI 43018,3,2.3
6,8,Spring 2024,CSCI 44026,3,2.0
6,8,Spring 2024,CSEC 44012,3,2.3
6,8,Spring 2024,CSEC 44022,3,2.0
6,8,Spring 2024,CSEC 44032,3,2.0
6,8,Spring 2024,CSEC 44042,3,2.0
6,8,Spring 2024,CSEC 44062,3,2.0
6,8,Spring 2024,CSEC 44072,3,3.3
6,8,Spring 2024,DSCI 44022,3,2.3
6,8,Spring 2024,DSCI 44033,3,2.0
6,8,Spring 2024,DSCI 44052,3,2.7
6,8,Spring 2024,AINT 44042,3,2.0
6,8,Spring 2024,SCOM 44022,3,2.0
6,8,Spring 2024,CSCI 44082,3,3.0
6,8,Spring 2024,CSCI 44112,3,2.0
7,1,Fall 2023,CSCI 11014,3,2.0
7,1,Fall 2023,CSCI 11023,3,3.3
7,1,Fall 2023,CSCI 11032,3,3.0
7,1,Fall 2023,CSCI 11042,3,2.3
7,1,Fall 2023,CSCI 11052,3,3.0
7,1,Fall 2023,CSCI 11062,3,3.7
7,1,Fall 2023,DELT 13302,3,3.0
7,1,Fall 2023,CSCI 11072,2,2.3
7,2,Spring 2024,CSCI 12013,3,3.0
7,2,Spring 2024,CSCI 12022,3,3.3
7,2,Spring 2024,CSCI 12033,3,3.0
7,2,Spring 2024,CSCI 12042,3,2.0
7,2,Spring 2024,CSCI 12052,3,2.3
7,2,Spring 2024,CSCI 12063,3,3.0
7,3,Fall 2024,CSCI 21013,3,3.0
7,3,Fall 2024,CSCI 21023,3,3.0
7,3,Fall 2024,CSCI 21033,3,2.0
7,3,Fall 2024,CSCI 21042,3,2.3
7,3,Fall 2024,CSCI 21052,3,2.3
7,3,Fall 2024,CSCI 21062,3,2.3
7,3,Fall 2024,CSCI 23072,3,2.7
7,3,Fall 2024,DELT 21212,3,2.7
7,3,Fall 2024,MGMT 21012,3,2.7
7,4,Spring 2025,CSCI 22012,3,2.7
7,4,Spring 2025,CSCI 22022,3,2.7
7,4,Spring 2025,CSCI 22032,3,2.3
7,4,Spring 2025,CSCI 22042,3,2.7
7,4,Spring 2025,CSCI 22052,3,2.3
7,4,Spring 2025,CSCI 22062,3,2.7
7,4,Spring 2025,CSCI 22082,3,2.7
7,4,Spring 2025,MGMT 22012,3,3.7
7,4,Spring 2025,CSCI 22072,3,3.0
8,1,Fall 2021,CSCI 11014,3,2.0
8,1,Fall 2021,CSCI 11023,3,2.0
8,1,Fall 2021,CSCI 11032,3,3.0
8,1,Fall 2021,CSCI 11042,3,2.7
8,1,Fall 2021,CSCI 11052,3,2.7
8,1,Fall 2021,CSCI 11062,3,2.7
8,1,Fall 2021,DELT 13302,3,3.7
8,1,Fall 2021,CSCI 11072,2,3.0
8,2,Spring 2022,CSCI 12013,3,2.7
8,2,Spring 2022,CSCI 12022,3,3.3
8,2,Spring 2022,CSCI 12033,3,2.3
8,2,Spring 2022,CSCI 12042,3,2.7
8,2,Spring 2022,CSCI 12052,3,3.0
8,2,Spring 2022,CSCI 12063,3,2.3
8,3,Fall 2022,CSCI 21013,3,2.7
8,3,Fall 2022,CSCI 21023,3,2.3
8,3,Fall 2022,CSCI 21033,3,3.3
8,3,Fall 2022,CSCI 21042,3,2.7
8,3,Fall 2022,CSCI 21052,3,2.0
8,3,Fall 2022,CSCI 21062,3,2.3
8,3,Fall 2022,CSCI 23072,3,2.7
8,3,Fall 2022,DELT 21212,3,3.0
8,3,Fall 2022,MGMT 21012,3,2.7
8,4,Spring 2023,CSCI 22012,3,2.7
8,4,Spring 2023,CSCI 22022,3,2.7
8,4,Spring 2023,CSCI 22032,3,3.3
8,4,Spring 2023,CSCI 22042,3,2.3
8,4,Spring 2023,CSCI 22052,3,3.3
8,4,Spring 2023,CSCI 22062,3,2.0
8,4,Spring 2023,CSCI 22082,3,3.0
8,4,Spring 2023,MGMT 22012,3,2.7
8,4,Spring 2023,CSCI 22072,3,2.7
8,5,Fall 2023,CSCI 31014,3,3.3
8,5,Fall 2023,DELT 33212,3,2.3
8,5,Fall 2023,MGMT 31012,3,3.0
8,5,Fall 2023,CSCI 31082,3,3.0
8,5,Fall 2023,CSEC 31012,3,3.0
8,5,Fall 2023,CSEC 31022,3,2.7
8,6,Spring 2024,CSCI 32012,3,3.0
8,6,Spring 2024,CSCI 32022,3,2.3
8,6,Spring 2024,CSCI 32032,3,2.7
8,6,Spring 2024,CSCI 32042,3,3.0
8,6,Spring 2024,DELT 33212,3,2.3
8,6,Spring 2024,MGMT 31012,3,3.0
8,6,Spring 2024,CSEC 32012,3,2.3
8,6,Spring 2024,CSEC 32022,3,2.3
8,6,Spring 2024,CSEC 32032,3,3.3
8,7,Fall 2024,CSCI 43018,3,2.3
8,7,Fall 2024,CSCI 44026,3,3.3
8,7,Fall 2024,CSEC 44012,3,2.0
8,7,Fall 2024,CSEC 44022,3,2.0
8,7,Fall 2024,CSEC 44032,3,2.3
8,7,Fall 2024,CSEC 44042,3,3.7
8,7,Fall 2024,CSEC 44062,3,2.3
8,7,Fall 2024,CSEC 44072,3,2.0
8,7,Fall 2024,DSCI 44022,3,3.0
8,7,Fall 2024,DSCI 44033,3,2.7
8,7,Fall 2024,DSCI 44052,3,3.3
8,7,Fall 2024,AINT 44042,3,2.7
8,7,Fall 2024,SCOM 44022,3,2.0
8,7,Fall 2024,CSEC 44082,3,2.3
8,7,Fall 2024,CSEC 44102,3,4.0
8,8,Spring 2025,CSCI 43018,3,2.0
8,8,Spring 2025,CSCI 44026,3,3.3
8,8,Spring 2025,CSEC 44012,3,3.7
8,8,Spring 2025,CSEC 44022,3,2.3
8,8,Spring 2025,CSEC 44032,3,2.0
8,8,Spring 2025,CSEC 44042,3,2.0
8,8,Spring 2025,CSEC 44062,3,2.3
8,8,Spring 2025,CSEC 44072,3,2.3
8,8,Spring 2025,DSCI 44022,3,2.3
8,8,Spring 2025,DSCI 44033,3,2.3
8,8,Spring 2025,DSCI 44052,3,2.7
8,8,Spring 2025,AINT 44042,3,2.7
8,8,Spring 2025,SCOM 44022,3,2.7
8,8,Spring 2025,CSEC 44082,3,3.0
8,8,Spring 2025,CSEC 44102,3,3.0
9,1,Fall 2021,CSCI 11014,3,2.7
9,1,Fall 2021,CSCI 11023,3,2.7
9,1,Fall 2021,CSCI 11032,3,2.0
9,1,Fall 2021,CSCI 11042,3,2.7
9,1,Fall 2021,CSCI 11052,3,3.3
9,1,Fall 2021,CSCI 11062,3,2.0
9,1,Fall 2021,DELT 13302,3,2.0
9,1,Fall 2021,CSCI 11072,2,2.0
9,2,Spring 2022,CSCI 12013,3,3.0
9,2,Spring 2022,CSCI 12022,3,2.3
9,2,Spring 2022,CSCI 12033,3,2.0
9,2,Spring 2022,CSCI 12042,3,2.0
9,2,Spring 2022,CSCI 12052,3,2.7
9,2,Spring 2022,CSCI 12063,3,2.7
9,3,Fall 2022,CSCI 21013,3,2.7
9,3,Fall 2022,CSCI 21023,3,2.0
9,3,Fall 2022,CSCI 21033,3,2.3
9,3,Fall 2022,CSCI 21042,3,2.0
9,3,Fall 2022,CSCI 21052,3,2.0
9,3,Fall 2022,CSCI 21062,3,3.3
9,3,Fall 2022,CSCI 23072,3,2.3
9,3,Fall 2022,DELT 21212,3,2.0
9,3,Fall 2022,MGMT 21012,3,2.0
9,4,Spring 2023,CSCI 22012,3,2.0
9,4,Spring 2023,CSCI 22022,3,3.0
9,4,Spring 2023,CSCI 22032,3,2.0
9,4,Spring 2023,CSCI 22042,3,2.0
9,4,Spring 2023,CSCI 22052,3,2.3
9,4,Spring 2023,CSCI 22062,3,2.3
9,4,Spring 2023,CSCI 22082,3,2.0
9,4,Spring 2023,MGMT 22012,3,2.7
9,4,Spring 2023,CSCI 22072,3,3.0
9,5,Fall 2023,CSCI 31014,3,2.3
9,5,Fall 2023,DELT 33212,3,2.0
9,5,Fall 2023,MGMT 31012,3,2.7
9,5,Fall 2023,CSCI 31082,3,2.3
9,5,Fall 2023,CSEC 31012,3,2.7
9,5,Fall 2023,CSEC 31022,3,2.0
9,5,Fall 2023,SCOM 31032,2,2.0
9,5,Fall 2023,SCOM 31013,2,2.7
9,6,Spring 2024,CSCI 32012,3,2.3
9,6,Spring 2024,CSCI 32022,3,2.3
9,6,Spring 2024,CSCI 32032,3,2.3
9,6,Spring 2024,CSCI 32042,3,2.3
9,6,Spring 2024,DELT 33212,3,2.0
9,6,Spring 2024,MGMT 31012,3,2.0
9,6,Spring 2024,CSEC 32012,3,2.7
9,6,Spring 2024,CSEC 32022,3,3.0
9,6,Spring 2024,CSEC 32032,3,2.3
9,6,Spring 2024,SCOM 32012,3,2.0
9,7,Fall 2024,CSCI 43018,3,2.0
9,7,Fall 2024,CSCI 44026,3,3.0
9,7,Fall 2024,CSEC 44012,3,2.7
9,7,Fall 2024,CSEC 44022,3,2.0
9,7,Fall 2024,CSEC 44032,3,2.0
9,7,Fall 2024,CSEC 44042,3,2.7
9,7,Fall 2024,CSEC 44062,3,2.0
9,7,Fall 2024,CSEC 44072,3,2.0
9,7,Fall 2024,DSCI 44022,3,2.0
9,7,Fall 2024,DSCI 44033,3,2.3
9,7,Fall 2024,DSCI 44052,3,2.7
9,7,Fall 2024,AINT 44042,3,2.0
9,7,Fall 2024,SCOM 44022,3,2.0
9,7,Fall 2024,SCOM 44033,3,2.0
9,7,Fall 2024,SCOM 44043,2,3.0
9,8,Spring 2025,CSCI 43018,3,2.0
9,8,Spring 2025,CSCI 44026,3,2.0
9,8,Spring 2025,CSEC 44012,3,2.0
9,8,Spring 2025,CSEC 44022,3,2.3
9,8,Spring 2025,CSEC 44032,3,2.7
9,8,Spring 2025,CSEC 44042,3,2.0
9,8,Spring 2025,CSEC 44062,3,3.0
9,8,Spring 2025,CSEC 44072,3,3.0
9,8,Spring 2025,DSCI 44022,3,2.0
9,8,Spring 2025,DSCI 44033,3,3.0
9,8,Spring 2025,DSCI 44052,3,2.3
9,8,Spring 2025,AINT 44042,3,2.3
9,8,Spring 2025,SCOM 44022,3,2.7
9,8,Spring 2025,SCOM 44052,3,3.3
9,8,Spring 2025,SCOM 44043,3,2.7
10,1,Fall 2024,CSCI 11014,3,2.0
10,1,Fall 2024,CSCI 11023,3,2.0
10,1,Fall 2024,CSCI 11032,3,2.0
10,1,Fall 2024,CSCI 11042,3,2.7
10,1,Fall 2024,CSCI 11052,3,2.0
10,1,Fall 2024,CSCI 11062,3,2.7
10,1,Fall 2024,DELT 13302,3,2.0
10,1,Fall 2024,CSCI 11072,3,2.7
10,2,Spring 2025,CSCI 12013,3,2.0
10,2,Spring 2025,CSCI 12022,3,2.0
10,2,Spring 2025,CSCI 12033,3,2.7
10,2,Spring 2025,CSCI 12042,3,2.3
10,2,Spring 2025,CSCI 12052,3,2.0
10,2,Spring 2025,CSCI 12063,3,2.0
11,1,Fall 2022,CSCI 11014,3,2.0
11,1,Fall 2022,CSCI 11023,3,2.7
11,1,Fall 2022,CSCI 11032,3,2.3
11,1,Fall 2022,CSCI 11042,3,2.3
11,1,Fall 2022,CSCI 11052,3,2.0
11,1,Fall 2022,CSCI 11062,3,2.0
11,1,Fall 2022,DELT 13302,3,2.0
11,1,Fall 2022,CSCI 11072,3,2.0
11,2,Spring 2023,CSCI 12013,3,2.7
11,2,Spring 2023,CSCI 12022,3,2.7
11,2,Spring 2023,CSCI 12033,3,2.3
11,2,Spring 2023,CSCI 12042,3,2.3
11,2,Spring 2023,CSCI 12052,3,2.0
11,2,Spring 2023,CSCI 12063,3,2.0
11,3,Fall 2023,CSCI 21013,3,2.3
11,3,Fall 2023,CSCI 21023,3,3.0
11,3,Fall 2023,CSCI 21033,3,2.0
11,3,Fall 2023,CSCI 21042,3,2.7
11,3,Fall 2023,CSCI 21052,3,2.0
11,3,Fall 2023,CSCI 21062,3,2.0
11,3,Fall 2023,CSCI 23072,3,2.0
11,3,Fall 2023,DELT 21212,3,2.0
11,3,Fall 2023,MGMT 21012,3,2.3
11,4,Spring 2024,CSCI 22012,3,2.0
11,4,Spring 2024,CSCI 22022,3,2.3
11,4,Spring 2024,CSCI 22032,3,2.0
11,4,Spring 2024,CSCI 22042,3,2.0
11,4,Spring 2024,CSCI 22052,3,2.0
11,4,Spring 2024,CSCI 22062,3,2.3
11,4,Spring 2024,CSCI 22082,3,2.3
11,4,Spring 2024,MGMT 22012,3,2.7
11,4,Spring 2024,CSCI 22072,3,2.3
11,5,Fall 2024,CSCI 31014,3,2.0
11,5,Fall 2024,DELT 33212,3,2.0
11,5,Fall 2024,MGMT 31012,3,2.3
11,5,Fall 2024,CSCI 31082,3,2.0
11,5,Fall 2024,CSEC 31012,3,2.0
11,5,Fall 2024,CSEC 31022,3,3.0
